Pillar,Pillar Name,Sub-Pillar Code,Sub-Pillar Name,External Data Fit,Recommended External Sources,Example Indicators / Data Points,the data /  numbers,the year,the source link ,
P5,Legal & Regulatory Foundations,P5.1,Legal Identity & Civil Registration ,Direct + proxy,World Bank ID4D; UNICEF/SDG 16.9 via ID4D proxies,Birth registration coverage; ,99,2012,https://data.worldbank.org/indicator/SP.REG.BRTH.ZS?locations=BB,
,,,,,, % adults with official ID,-,,,
,,,,,, population without proof of identity,-,,,
,,,,,, sex/rural income gaps,-,,,
P5,Legal & Regulatory Foundations,P5.2,Data Protection & Privacy,Direct + proxy,UNCTAD Privacy Map; UNCTAD Cyberlaw Tracker; World Bank GTMI; UNDP Digital Development Compass,Existence of data protection/privacy law,yes,2019,https://unctad.org/page/cyberlaw-tracker-country-detail?country=bb,
,,,,,, e-transaction law context,yes,2001,https://unctad.org/page/cyberlaw-tracker-country-detail?country=bb,
,,,,,,digital government/data governance proxies,-,,,
P5,Legal & Regulatory Foundations,P5.3,"Trust Services (e-ID, Signatures)",Direct + proxy,UNCTAD Cyberlaw Tracker; World Bank GTMI; UN DESA E-Government Survey; DPG Registry (e-sign/open tools),Existence of e-transactions law,yes,2001,https://unctad.org/page/cyberlaw-tracker-country-detail?country=bb  ,https://trident.gov.bb/
,,,,,, online public service maturity,0.5,2024,Data Center,
,,,,,,trust-service/e-sign related DPG presence (where relevant),no specific e-signatures is currently designated,,,
P5,Legal & Regulatory Foundations,P5.4,Emerging Technology Safeguards,Proxy / survey-heavy,OECD AI Policy Observatory; OECD AI Principles; UNESCO/UNDP AI or safeguards references,National AI policy/strategy existence; ,No,2024,https://dpocaribbean.com/ai-laws-and-regs,
,,,,,,AI risk-management guidance;,None formally implemented,2024,https://www.centralbank.org.bb/news/blog/the-future-of-ai-policy-lessons-for-barbados,
,,,,,, AI incident/risk monitoring presence,,,,
P5,Legal & Regulatory Foundations,P5.5,Legal Interoperability,Proxy,World Bank GTMI; OECD digital government materials; UNDP data exchange governance references,National interoperability framework;  shared data exchange platform; enterprise architecture,0.43,2025,https://www.worldbank.org/en/data/interactive/2022/10/21/govtech-maturity-index-gtmi-data-dashboard,
,,,,,, cross-border data-flow/privacy rules,yes,2021,https://www.privacylaws.com/media/4517/data-protection-act-2019-29.pdf,
P6,Institutional Capacity & Governance,P6.1,Leadership & Coordination,Proxy,World Bank GTMI; UN EGDI/Survey 2024; UNDP DDC,Whole-of-government approach; enterprise architecture;,0.43,2025,https://www.worldbank.org/en/data/interactive/2022/10/21/govtech-maturity-index-gtmi-data-dashboard,
,,,,,, central digital leadership arrangements;,-,,,
P6,Institutional Capacity & Governance,P6.2,Digital Capacity & Skills,Proxy,UN EGDI (Human Capital component); ITU IDI skills/connectivity context; UNDP DDC,Human capital score;,0.78,2024,https://data360.worldbank.org/en/indicator/UN_EGDI_HCI?country=BRB,
,,,,,, digital skills / ICT use indicators;,79.5,2025,https://datahub.itu.int/dashboards/idi/?e=BRB&y=2024,
,,,,,, public sector digital capacity proxies;,I am not sure,,IDB | Skills for the Future II: Digital Transformation for Inclusive and Quality Education,
P6,Institutional Capacity & Governance,P6.3,Vendor Management & Technical Management,Survey-heavy proxy,World Bank GTMI; OECD digital government procurement guidance (qualitative); DPG/open-source sources,Presence of modular architecture/open APIs/open source;,yes,,Portal - NIS,
,,,,,, shared platforms that reduce lock-in;,-,,,
P6,Institutional Capacity & Governance,P6.4,Institutional Accountability,Survey-heavy proxy,World Bank Worldwide Governance-style proxies not ID-specific; GTMI; UN EPI/EGDI,Government effectiveness/accountability proxies; ,0.6,2024,https://www.theglobaleconomy.com/Barbados/wb_government_effectiveness/,
,,,,,,public reporting and participation proxies;,0.059,2025,GovTech Maturity Index (GTMI) Data Dashboard,
P6,Institutional Capacity & Governance,P6.5,Financing and Sustainability ,Survey-heavy proxy,World Bank GTMI; national budget openness sources (if country-level); UNDP DDC,Existence of funded GovTech programs; ,no available data,,https://www.worldbank.org/en/data/interactive/2022/10/21/govtech-maturity-index-gtmi-data-dashboard,
,,,,,,sustainability signals from core systems maturity;,I am not sure,,IDB | Skills for the Future II: Digital Transformation for Inclusive and Quality Education,
P4,Technical Architecture & DPI Integration,P4.1,ID System ,Survey-heavy proxy,World Bank GTMI; UNDP DPI playbook/standards; DPG Registry,Enterprise architecture; modular/open system presence; use of DPG/open architecture,0.43,2025,GovTech Maturity Index (GTMI) Data Dashboard,
P4,Technical Architecture & DPI Integration,P4.2, Data Exchange,Direct + proxy,World Bank GTMI; UNDP Data Exchange Governance; UN EGDI,Interoperability framework; shared service bus/data exchange platform; API-enabled services proxies,0.43,,GovTech Maturity Index (GTMI) Data Dashboard,
P4,Technical Architecture & DPI Integration,P4.3,Integration with Other DPI,Proxy,World Bank GTMI; UNDP DPI page/playbook; Global Findex for payments adoption,Integration with payment rails/shared registries; ,yes,2025,Central Bank of Barbados Advances Payments System Modernisation with RFP for Instant Payments Solution,
,,,,,,digital payments usage;,no data available,,,
,,,,,,service integration proxies;,0.5,,,
P4,Technical Architecture & DPI Integration,P4.4,Cybersecurity  & Resilience,Direct + proxy,GTMI; ITU cybersecurity-related digital readiness context; UNDP Data initiatives,Shared secure infrastructure;,yes,,https://www.gov.bb/Departments/digital-infrastructure,
,,,,,, resilience/business continuity proxies;,yes,2024,https://sdgs.un.org/partnerships/investing-green-and-resilient-recovery-barbados,
P4,Technical Architecture & DPI Integration,P4.5, Digital Public Goods,Direct + proxy,DPG Registry; DPGA DPI collection; UNDP Default to Open; UNDP Digital Standards,Presence of recognized DPGs; open-source status; open standards/open APIs adoption,yes,,digitalpublicgoods.net/registry?country=2124,
P1,Service Delivery & User Value,P1.1,Coverage & Inclusion ,Direct + proxy,World Bank ID4D; ITU IDI; GSMA Mobile Connectivity Index; UN EGDI/Survey,internet use;,70.40%,2024,https://datahub.itu.int/data/?e=BRB&c=701&i=11624,
,,,,,,ID coverage gaps by sex/age/income/rural where available;,no data available,,,
,,,,,," mobile coverage; (Population coverage, by mobile network)",99.00%,2024,"Population coverage, by mobile network technology: At least LTE/WiMAX - ITU DataHub",
,,,,,,handset/data affordability;,-,,Individuals who own a mobile cellular telephone - ITU DataHub,
P1,Service Delivery & User Value,P1.2,User Experience ,Proxy,UN EGDI/LOSI; ITU IDI; GSMA affordability; UNICEF accessibility references,Accessibility-related online service indicators;  , no exact numbers available,,,
,,,,,,connectivity and affordability;,no data available,,,
,,,,,,device access proxies;,83.70%,2024,Individuals who own a mobile cellular telephone - ITU DataHub,
P1,Service Delivery & User Value,P1.3,Service Integration ,Proxy,GTMI Public Service Delivery Index; UN E-Government Survey; Global Findex for financial use cases,Online services maturity;,0.5,2024,https://data360.worldbank.org/en/indicator/UN_EGDI_OSI?country=BRB,
,,,,,,digital service uptake;,no data available,,,
,,,,,,  account ownership and digital payment usage;,no data available,,,
P1,Service Delivery & User Value,P1.4,Value,Survey-heavy proxy,GTMI; UN E-Government Survey; World Bank/UNDP case evidence,Digital service maturity proxies;,0.68,2024,https://data360.worldbank.org/en/indicator/UN_EGDI_EGDI?country=BRB,
,,,,,, case-study evidence of time/cost savings,-,,,
P1,Service Delivery & User Value,P1.5, Improvement,Survey-heavy proxy,UN E-Participation Index; LOSI; GTMI citizen engagement indicators,Citizen feedback/e-participation proxies;,0.32,2024,https://publicadministration.un.org/egovkb/en-us/Data/Country-Information/id/15-Barbados,
,,,,,, local digital participation features;,no data available,,,
P2,"Safeguards, Trust & Accountability",P2.1,Consent & Data Minimization,Proxy,UNCTAD Privacy Map; OECD privacy/AI principles; UNDP Safeguards/Data governance,Presence of privacy law; ,yes,2019,https://unctad.org/page/cyberlaw-tracker-country-detail?country=bb,https://www.privacylaws.com/media/4517/data-protection-act-2019-29.pdf
,,,,,, purpose-limitation/consent provisions;,,,"Data Protection Act, 2019–29",
,,,,,,privacy-preserving design references;,yes,2019,"Data Protection Act, 2019–29",page 58
P2,"Safeguards, Trust & Accountability",P2.2,Transparency & Explainability,Proxy,UN E-Government Survey; E-Participation Index; OECD AI Principles; UNDP Safeguards,Public information availability; ,yes,2019,https://www.privacylaws.com/media/4517/data-protection-act-2019-29.pdf,page 30 :35
,,,,,,explainability/transparency policy references;,yes,2019,https://www.privacylaws.com/media/4517/data-protection-act-2019-29.pdf,page 30 :36
P2,"Safeguards, Trust & Accountability",P2.3,Accountability & Redress ,Survey-heavy proxy,UN EPI; governance proxies; UNDP Safeguards,Complaint/participation proxies; ,yes,2029,https://www.privacylaws.com/media/4517/data-protection-act-2019-29.pdf,page 25/ 93
,,,,,,availability of review channels if country-specific legal data added later;,yes,2019,https://www.privacylaws.com/media/4517/data-protection-act-2019-29.pdf,page 93:94
P2,"Safeguards, Trust & Accountability",P2.4,Inclusion &  Non-Discrimination,Proxy,"World Bank ID4D disaggregations; ITU/GSMA digital divide indicators; Women, Business and the Law where relevant; UNICEF accessibility references",Gender/rural/poverty gaps in ID;,no data available,,,
,,,,,," connectivity, device access;",-,,,
,,,,,, legal constraints affecting women;,no data available,,,
P2,"Safeguards, Trust & Accountability",P2.5,Independent Oversight ,Survey-heavy proxy,UNCTAD for oversight-law context; UN EPI/EGDI for reporting culture; OECD/UNDP safeguards,Existence of independent authority; audit/reporting provisions,yes,2019,https://www.privacylaws.com/media/4517/data-protection-act-2019-29.pdf,page 74
P3,Ecosystem & Innovation,P3.1,Private Sector Participation ,Survey-heavy proxy,UNCTAD e-transaction laws; GTMI; Global Findex,Legal enablement for electronic transactions; ,yes,2001,Cyberlaw Tracker: The case of Barbados,
,,,,,,digital payments/financial uptake,no available data,,,
P3,Ecosystem & Innovation,P3.2,Digital ID Use Cases,Proxy,Global Findex; GTMI; UNDP DPI compendium/case evidence,"Digital payments, account use, online service maturity, sectoral DPI use cases",no available data,,,
P3,Ecosystem & Innovation,P3.3,Standards  & Certification,Direct + proxy,DPG Registry; UNDP Default to Open; GTMI; OECD/ISO adoption references where added later,Open standards/open-source recognition; ,exist ,,MyChild HelpLine DPG Profile,
,,,,,,conformance-related proxies;,-,,,
P3,Ecosystem & Innovation,P3.4,Developer Ecosystem ,Survey-heavy proxy,GTMI; DPG Registry; UNDP digital standards/default to open,Availability of APIs/open docs/open components; ,-,,,
,,,,,,sandbox/open ecosystem signals;,yes,2018,Regulatory Sandbox - Central Bank Of Barbados - CBB & FSC Regulatory Sandbox,
P3,Ecosystem & Innovation,P3.5,Cross-Border Interoperability ,Proxy,UNCTAD cross-border data flow references; GTMI interoperability; regional DPI/50-in-5 references,Cross-border data transfer/privacy rules,yes,2021,https://www.privacylaws.com/media/4517/data-protection-act-2019-29.pdf,
,,,,,, regional cooperation presence,no data available,,,
